document_repository_link_id,document_id,repository_id,document_url,repository_url,predictive_model_confidence,label,this-repo-linked-in-paper,this-paper-linked-in-repo,diff-repo-linked-in-paper,diff-paper-linked-in-repo,notes,
383344,376301,370160,https://doi.org/10.32614/cran.package.whoa,https://github.com/eriqande/whoa,0.9990528226,unclear,,,,,The link isn't to a paper?,
451752,444541,438568,https://doi.org/10.48550/arxiv.2308.13106,https://github.com/cdonovick/peak-tutorial,0.9990932941,non-match,no,no,yes,no,Not a match - the paper introduces two linked repositories - this is a tutorial repository,
374556,367513,361372,https://doi.org/10.1007/978-3-031-37231-5_8,https://github.com/aladics/code-change-repr,0.9991461039,non-match,no,no,yes,no,Maybe a helper tool developed for some of the work - but paper is thorough in linking software it produced for paper ,
347423,340384,334239,https://doi.org/10.1016/j.jbiotec.2017.05.019,https://github.com/bgruening/docker-galaxy-sequence-tools,0.9992997646,unclear,no,no,yes,no,Unclear - the paper is about data and tools developed under one concept (the galaxy platform) - they list a repo with all tools covered in the paper - the repo linked is a docker image to run some of those tools ,
375755,368712,362571,https://doi.org/10.3389/fcvm.2022.969421,https://github.com/millerlab-cphg/dockerfile_plaqview,0.9993042946,non-match,no,no,yes,no,""" This repo contains the dockerfile(s) to accurately reproduce the environment to analyze plaqview data and develop the plaqview shiny app "" ... The paper is to a new implementation of Plaqview (2.0) ",
401680,394637,388496,https://doi.org/10.1002/wrna.1631,https://github.com/lbroseus/fakir,0.9994262457,match,yes,yes,no,yes,Repo linked in paper and in repository,
369760,362718,356576,https://doi.org/10.3389/fimmu.2021.763044,https://github.com/richelbilderbeek/ncbi_results,0.9994315505,unclear,no,no,yes,no,the repo is labeled as one portion of the analysis for the article but the original article doesn't link to it while it does link to two other repositories. Seems like this paper has three repos for all of the analysis / processing it requires,
306585,299610,293401,https://doi.org/10.1007/978-3-031-25599-1_28,https://github.com/cfellicious/driftdetector,0.9994592071,match,,yes,no,no,I can't find any open access version of the article but the repo is very clear and provides a link to the article in the README,
399829,392786,386645,https://doi.org/10.1016/j.envsoft.2024.106136,https://github.com/smhassanerfani/ifmha,0.9994865656,match,yes,yes,no,no,,
491520,484281,478336,https://doi.org/10.1101/2020.07.14.202176,https://github.com/yamilvidal/gpinreading,0.9995130301,match,no,no,no,no,"no github or code links in the paper, no direct link in the repository but a near exact match of the title of the paper is given in the README",
358984,351943,345800,https://doi.org/10.1101/2022.05.04.490675,https://github.com/elstonlab/podosomeimageanalysis,0.999515295,match,yes,no,no,no,,
225528,218734,212344,https://doi.org/10.1145/3640457.3687112,https://github.com/roegen-recsys2024/roegen-recsys2024.github.io,0.9995429516,unclear,,,,,"oddly, I would view this as a match but it isn't exactly what we really care about imo",
237943,231116,224759,https://doi.org/10.48550/arxiv.2203.07060,https://github.com/umich-curly/3dmapping,0.9995433092,match,yes,yes,no,no,,
431625,424434,418441,https://doi.org/10.1109/bigdata59044.2023.10386682,https://github.com/jliu-1/srnn-sz,0.9995550513,match,no,no,no,no,"first author matches contributor, no links between paper or code but the core method name (SRNN-SZ) is unique and named in the repo",
433088,425896,419904,https://doi.org/10.1007/978-3-031-82225-4_21,https://github.com/yongboyu/pmf-multivariate,0.9995698333,match,yes,yes,no,no,paper links to same repo but under a different URL (repo name was changed and thus there is a github redirect),
272834,265921,259650,https://doi.org/10.1109/wacv45572.2020.9093564,https://github.com/ermongroup/stgan,0.9995980859,match,no,yes,no,no,no direct link to repo in paper but there is one from repo to paper,
456192,448979,443008,https://doi.org/10.1063/5.0264937,https://github.com/samarjeet/apocharmm,0.9996054769,match,yes,no,no,no,"software paper, naming overlaps and linked in paper via github citation, no link to paper from repo",
453065,445854,439881,https://doi.org/10.1109/icra57147.2024.10611495,https://github.com/robustfieldautonomylab/multi-robot-em-exploration,0.9996077418,match,yes,no,no,no,linked in paper via footnoote,
343831,336793,330647,https://doi.org/10.48550/arxiv.2410.02530,https://github.com/spaceml-org/sdo-fm,0.9996134639,match,no,no,no,no,"no link either direction but the the paper makes clear the model name (SDO-FM) and the repository uses that same name across the board, high overlap with paper overwise",
497425,490181,484241,https://doi.org/10.26226/morressier.604907f41a80aac83ca25cf0,https://github.com/jipspel/tacas21-artifact,0.9996201992,match,no,no,no,no,"This is a conference talk but it seems like it must also have a future paper or something attached to it. This is the code for that conference talk and it is a correct match by the statement in the README (This is an artifact created for our TACAS submission: Jip Spel, Sebastian Junges and Joost-Pieter Katoen. Finding Provably Optimal Markov Chains.)",
279579,272646,266395,https://doi.org/10.1109/tits.2026.3655007,https://github.com/louisyxlu/gmva,0.9996211529,match,yes,no,no,no,"Link in abstract, no link in the repo",
354729,347688,341545,https://doi.org/10.3389/fmars.2022.904859,https://github.com/rbeas/in_vs_its,0.999627471,match,no,no,no,no,"Overlap in information from ""in Baja California, Mexico, can be adapted to other coastal
SES. In particular, this study aimed to understand whether adaptive co-
management of Isla Natividad (IN) could be replicated in Isla Todos Santos
(ITS), a biophysically similar coastal SES to IN but with different results with
regard to fisheries management."" -- the IN vs ITS + author overlap",
375561,368518,362377,https://doi.org/10.1137/1.9781611974331.ch2,https://github.com/lducas/ldsieve,0.9996315241,match,no,no,no,no,no link in paper but the paper title is in the repo README + over topical overlap,
243703,236862,230519,https://doi.org/10.1109/vizsec.2018.8709204,https://github.com/pietroborrello/ropmate,0.999633193,match,no,no,no,no,"no link in either direction but this is somewhat of a software paper and the repo is the same name with author overlap, ",
439862,432661,426678,https://doi.org/10.1016/j.xgen.2023.100341,https://github.com/masadler/drugtargetmethodcomparison,0.9996490479,match,no,yes,no,no,"papers links to zenodo which then links to repo, repo links directly to paper",
437946,430748,424762,https://doi.org/10.32614/cran.package.robregcc,https://github.com/amishra-stats/robregcc,0.9996490479,unclear,,,,,cran package,
315707,308711,302523,https://doi.org/10.1093/bioinformatics/bty816,https://github.com/haddocking/prodigy-lig,0.9996631145,match,yes,yes,no,no,bidirectional linking,
229677,222874,216493,https://doi.org/10.1109/tcsvt.2020.3047084,https://github.com/dlut-lab-zmn/source-attack,0.9996634722,match,yes,no,no,no,"linked in paper abstract, title in repo but no direct link in repo",
358054,351013,344870,https://doi.org/10.1371/journal.pcbi.1006402,https://github.com/deriteidavid/cell_cycle_apoptosis_sizek_etal_ploscompbio_2019,0.9996646643,match,yes,no,no,no,paper described in repo but not linked - clear match,
445316,438109,432132,https://doi.org/10.1016/j.media.2025.103738,https://github.com/wzhjerry/set,0.9996781349,match,yes,yes,no,no,clear match,
372940,365897,359756,https://doi.org/10.1016/j.amc.2019.03.047,https://github.com/dhermes/k-compensated-de-casteljau,0.9996783733,match,no,yes,no,no,clear match - has badges (might be an exemplar match),
449671,442460,436487,https://doi.org/10.1038/s41598-023-30438-w,https://github.com/dppant/magnetism-prediction,0.999684453,match,yes,yes,no,no,bidirectional linking,
272375,265462,259191,https://doi.org/10.1007/978-3-031-54303-6_6,https://github.com/carloshernandezp/xai-healthcare,0.9996910095,match,yes,no,no,no,clear match (note I am not marking paper linked in repo even if it is just the bibtex) ,
478466,471240,465282,https://doi.org/10.1145/3550454.3555506,https://github.com/mrtornado24/ide-3d,0.9996963739,match,no,yes,no,yes,Repo cites multiple papers but this is clear match ,Repo cites multiple papers but this is clear match 
392773,385730,379589,https://doi.org/10.48550/arxiv.2201.03445,https://github.com/sidleal/nilcmetrix,0.9996986389,match,no,yes,yes,no,The paper cites a student in the labs fork of the lab's repo (the lab repo is correct) ,
376371,369328,363187,https://doi.org/10.1186/s13059-014-0509-9,https://github.com/mourisl/lighter,0.9996989965,match,yes,yes,no,no,bidirectional linking,
211501,204751,198317,https://doi.org/10.1109/tvcg.2018.2864909,https://github.com/kalealex/jobs-report-hops,0.9997047782,match,yes,no,no,no,"repo description matches paper, paper links ",
468643,461424,455459,https://doi.org/10.1177/25152459221147250,https://github.com/galraz/icatcher_plus,0.999709785,non-match,no,no,yes,no,Looks like an early version that was abandoned - official implementation is https://github.com/icatcherplus/icatcher_plus ,
351782,344742,338598,https://doi.org/10.1093/bib/bbaf268,https://github.com/doriszmr/scatd,0.9997209907,match,yes,yes,no,no,bidirectional linking (note multiple repos linked in paper but this is canonical repo),
204347,197626,191163,https://doi.org/10.1098/rsos.160652,https://github.com/drgmk/rzpsc,0.9997232556,match,yes,no,no,no,Repo mentions paper but not by name ,
370486,363444,357302,https://doi.org/10.1186/s13104-016-2340-8,https://github.com/dombennett/treeman,0.9997269511,match,yes,yes,no,no,bidirectional link ,
213824,207067,200640,https://doi.org/10.48550/arxiv.1808.06586,https://github.com/xy-guo/learning-monocular-depth-by-stereo,0.999728024,match,no,yes,no,no,clear match,
402933,395889,389749,https://doi.org/10.64898/2026.02.20.707056,https://github.com/heasleyl/a_unified_model_of_aneuploid_karyotype_dynamics,0.9997305274,match,yes,no,no,no,Note - paper introduces new sotware (https://github.com/mhenault1/fflucsim) but also links to analysis scripts and viz scripts (this linked repo) - not sure how to handle these,
355679,348638,342495,https://doi.org/10.1093/bioinformatics/btad140,https://github.com/jiangyanyu/intestline,0.9997326732,match,yes,yes,no,no,bidirectional link,
338603,331573,325419,https://doi.org/10.1016/j.cose.2022.102643,https://github.com/javieryuste/optimization-of-code-caves-in-malware-binaries-to-evade-machine-learning-detectors,0.9997337461,match,yes,yes,,,bidirectional link,
228249,221450,215065,https://doi.org/10.48550/arxiv.2601.02783,https://github.com/junjue-wang/earthvl,0.9997366071,match,yes,yes,no,yes,bidirectional link (multiple papers as suggested citaiton but this is cannon),
394656,387613,381472,https://doi.org/10.1145/3526113.3545651,https://github.com/joaobelo92/auit,0.999738276,match,no,no,no,no,"clear match (title, author, content)",
321185,314176,308001,https://doi.org/10.1016/j.mcpro.2024.100849,https://github.com/nh2tran/novoboard,0.9997448325,match,yes,no,yes,no,Note - repo cites preprint ,
299687,292721,286503,https://doi.org/10.48550/arxiv.2502.02674,https://github.com/mcstanle/adaptive-functional-ci,0.9997455478,match,no,no,no,no,definite match - preprint mentioned by name in repo description - clear link ,
213873,207116,200689,https://doi.org/10.1109/ccgrid54584.2022.00071,https://github.com/gtkernel/coeus-sim,0.9997461438,unclear,,,,,Don't have access to PDF at home - the repo cites three papers (and is named for an early paper) ,
309956,302971,296772,https://doi.org/10.48550/arxiv.2208.07959,https://github.com/zilongxie/latentregmissingknockoff,0.999746263,match,no,no,no,no,Repo mentions by name ,
435030,427835,421846,https://doi.org/10.1145/3176245.3167081,https://github.com/cmcl/triangulating-context-lemmas,0.9997480512,match,yes,no,no,no,clear link in paper and repo has paper info,
200935,194231,187751,https://doi.org/10.48550/arxiv.2305.01481,https://github.com/d-ailin/latent-agreement,0.9997492433,match,no,yes,no,no,"link directly to paper in repo, no link in paper though",
238424,231595,225240,https://doi.org/10.1109/bigdata50022.2020.9378426,https://github.com/diku-dk/annfmp,0.9997498393,match,yes,no,no,no,"link to repo in article footnote, article info in repo readme",
240360,233529,227176,https://doi.org/10.48550/arxiv.2306.05724,https://github.com/joshwa71/uncertaintyshap,0.9997522235,unclear,no,no,yes,no,"seems like the author of the paper wanted a copy of the code that wasn't controlled by facebookresearch github org so they made their own (non-fork) copy. this is nearly the same repo though, just seems like it is missing the reuploaded figs and additional LICENSING info",
217597,210827,204413,https://doi.org/10.1111/1365-2656.14012,https://github.com/zipkinlab/zipkin_etal_2023_jae,0.999753058,match,no,yes,no,no,"there is a link to the PI lab website that then links to the repo itself but no link directly to code in the paper, there is a link from the repo to the paper as well though!",
304263,297293,291079,https://doi.org/10.1109/tvcg.2025.3634649,https://github.com/uwdata/mosaic-selection-benchmarks,0.9997532964,match,yes,no,no,no,link in paper,
267252,260348,254068,https://doi.org/10.1109/hcc46620.2019.00026,https://github.com/infinite-pursuits/ml4hc_3dprediction,0.999753654,match,no,no,no,no,"no links either direction (also had to get paper from UW Lib for closed access) -- besides author overlap and paper topic, there is a very similar copy of the paper in the repo itself -- it isn't exactly the same but 99%",
208176,201439,194992,https://doi.org/10.1109/iv55156.2024.10588386,https://github.com/anna-meszaros/trajflow-experimet-setup,0.9997556806,match,no,no,no,no,no links either direction but the README makes it clear that this is the code for the same paper via title and other metadata,
317483,310481,304299,https://doi.org/10.1101/817031,https://github.com/willtownes/quminorm-paper,0.9997561574,match,yes,yes,no,no,bidirectional linking,
341835,334802,328651,https://doi.org/10.1109/cvpr52688.2022.01624,https://github.com/skynbe/pseudo-attributes,0.9997562766,match,yes,yes,no,no,"bidirectional link, repo linked in abstract",
327711,320696,314527,https://doi.org/10.21203/rs.3.rs-8151109/v1,https://github.com/atharva-shah-2298/force,0.999758184,match,no,yes,no,no,link to paper in repo but no link to repo in paper,
240037,233207,226853,https://doi.org/10.36227/techrxiv.171173272.21484682/v1,https://github.com/sebastianjiroschlecht/fdnmodalshapes,0.9997602105,match,yes,yes,no,no,"link to repo in paper footnote, link to paper in repo README",
259315,252432,246131,https://doi.org/10.31235/osf.io/amfws_v1,https://github.com/manueltonneau/moderation_workforce,0.9997605681,match,no,yes,no,no,"link to paper in repo, no link to repo in paper PDF but link to repo in OSF metadata",
263737,256846,250553,https://doi.org/10.1109/tgrs.2025.3526247,https://github.com/i3ab/df2rq,0.9997618794,match,yes,no,no,no,link to repo in paper abstract,
251548,244690,238364,https://doi.org/10.48550/arxiv.2512.02014,https://github.com/wren93/tuna,0.9997649789,match,yes,yes,no,no,"correct link but repo is still empty because ""code is under legal review""",
269041,262135,255857,https://doi.org/10.3390/su141811225,https://github.com/applied-ai-research-lab/airlines-seo,0.9997656941,match,yes,yes,no,no,bidirectional link,
